Wall time,Step,Value
1679001906.247669,11,2.1211228370666504
1679004098.7873127,12,1.8971028327941895
1679004099.0734892,13,2.170212984085083
1679004099.3236961,14,2.379277467727661
1679004099.624319,15,2.510925531387329
1679004099.9187202,16,2.585289239883423
1679004100.2084312,17,2.5676968097686768
1679004100.4939663,18,2.686472177505493
1679004100.7267466,19,2.65110445022583
1679004100.9077137,20,2.6462340354919434
1679004101.089209,21,2.7700181007385254
1679004101.3818843,22,2.7256417274475098
1679004101.7412207,23,2.6541266441345215
1679004102.0498214,24,2.655409574508667
1679004102.3445585,25,2.6500349044799805
1679004102.576632,26,2.6897597312927246
1679004102.8978322,27,2.6790249347686768
1679004103.2254546,28,2.7277204990386963
1679004103.411794,29,2.8691153526306152
1679004103.6075325,30,2.835810661315918
1679004103.8984897,31,2.896527051925659
1679004104.1835158,32,2.976670265197754
1679004104.486259,33,3.0294017791748047
1679004104.7679448,34,2.924197196960449
1679004105.0690727,35,2.9826676845550537
1679004105.4529462,36,2.9855616092681885
1679004105.7855349,37,2.99047589302063
1679004106.0905561,38,3.034196376800537
1679004106.3721313,39,3.108253240585327
1679004106.691329,40,3.1639883518218994
1679004106.9979348,41,3.0194242000579834
1679004107.359041,42,3.1366143226623535
1679004107.691544,43,3.08380389213562
1679004108.0332258,44,3.220743417739868
1679004108.3151374,45,3.332253932952881
1679004108.5722516,46,3.2701609134674072
1679004108.720465,47,3.3316407203674316
1679004109.0242882,48,3.241119146347046
1679004109.3206873,49,3.273744583129883
1679004109.6293485,50,3.2902321815490723
1679004109.9111953,51,3.2512052059173584
1679004110.1948867,52,3.365330219268799
1679004110.4782073,53,3.3020880222320557
1679004110.7806041,54,3.256117820739746
1679004110.9647787,55,3.276893138885498
1679004111.301127,56,3.247584819793701
1679004111.469523,57,3.2573306560516357
1679004111.8281825,58,3.231708526611328
1679004112.120155,59,3.2898151874542236
1679004112.296014,60,3.367217779159546
1679004112.5971704,61,3.381915807723999
1679004112.947216,62,3.4132440090179443
1679004113.1022449,63,3.482607364654541
1679004113.4685588,64,3.4742178916931152
1679004113.7987466,65,3.3607513904571533
1679004114.189948,66,3.5570547580718994
1679004114.5495322,67,3.362299919128418
1679004114.9908118,68,3.3785314559936523
1679004115.4500833,69,3.434317111968994
1679004115.6532075,70,3.4847285747528076
1679004116.0626163,71,3.5314218997955322
1679004116.5691938,72,3.514254093170166
1679004116.8857586,73,3.441436767578125
1679004117.0562437,74,3.5579442977905273
1679004117.424946,75,3.4918274879455566
1679004117.986298,76,3.608867645263672
1679004118.3084643,77,3.310382604598999
1679004118.6602273,78,3.3387222290039062
