Namespace(env_name='SimpleVSS-v0', number=2, random_seed=0, gamma=0.99, batch_size=1024, lr=1e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=200, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=True, device='cpu', render=0, replay='default', replay_max_size=500000.0, env_noise=0, exp_setting='different_opponent')
===============SimpleVSS
Environment initialized
16
Number:2	Episode: 31	Step: 6k	Reward: 1.18	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.618663740158081 
Number:2	Episode: 32	Step: 6k	Reward: 4.43	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6554803848266602 
Number:2	Episode: 33	Step: 6k	Reward: -0.4	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6880229711532593 
Number:2	Episode: 34	Step: 6k	Reward: -24.69	Goal: -1 	Done Type: done_goal	Epi_step: 136 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7105385303497315 
Number:2	Episode: 35	Step: 6k	Reward: 12.36	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.735073733329773 
Number:2	Episode: 36	Step: 7k	Reward: -2.64	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7219057321548462 
Number:2	Episode: 37	Step: 7k	Reward: 0.95	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7100996732711792 
Number:2	Episode: 38	Step: 7k	Reward: -0.06	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7084975481033325 
Number:2	Episode: 39	Step: 7k	Reward: 19.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7081804037094116 
Number:2	Episode: 40	Step: 7k	Reward: -0.21	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7288845300674438 
Number:2	Episode: 41	Step: 8k	Reward: 11.14	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7203373670578003 
Number:2	Episode: 42	Step: 8k	Reward: 1.46	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.6986381530761718 
Number:2	Episode: 43	Step: 8k	Reward: 4.16	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.665628981590271 
Number:2	Episode: 44	Step: 8k	Reward: 13.15	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.6864017009735107 
Number:2	Episode: 45	Step: 8k	Reward: -21.21	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.6695473909378051 
Number:2	Episode: 46	Step: 9k	Reward: -0.28	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.6896552085876465 
Number:2	Episode: 47	Step: 9k	Reward: 11.83	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.708120608329773 
Number:2	Episode: 48	Step: 9k	Reward: 42.12	Goal: 1 	Done Type: done_goal	Epi_step: 94 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7460819005966186 
Number:2	Episode: 49	Step: 9k	Reward: 13.45	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7312538385391235 
Number:2	Episode: 50	Step: 9k	Reward: 2.51	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7165248155593872 
Number:2	Episode: 51	Step: 9k	Reward: -30.94	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7266999244689941 
Number:2	Episode: 52	Step: 10k	Reward: -2.35	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7223620414733887 
Number:2	Episode: 53	Step: 10k	Reward: 4.52	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7066395521163941 
Number:2	Episode: 54	Step: 10k	Reward: -0.32	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.676109766960144 
Number:2	Episode: 55	Step: 10k	Reward: 9.32	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6879478693008423 
Number:2	Episode: 56	Step: 10k	Reward: 3.94	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6925775051116944 
Number:2	Episode: 57	Step: 11k	Reward: 3.89	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7400475740432739 
Number:2	Episode: 58	Step: 11k	Reward: 8.1	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7188425540924073 
Number:2	Episode: 59	Step: 11k	Reward: 8.4	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7232352018356323 
Number:2	Episode: 60	Step: 11k	Reward: 12.73	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7358864545822144 
Number:2	Episode: 61	Step: 11k	Reward: 7.43	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7395599365234375 
Number:2	Episode: 62	Step: 12k	Reward: 15.22	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7591749429702759 
Number:2	Episode: 63	Step: 12k	Reward: 4.09	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7624842882156372 
Number:2	Episode: 64	Step: 12k	Reward: 1.44	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7716273546218873 
Number:2	Episode: 65	Step: 12k	Reward: 4.51	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.765929102897644 
Number:2	Episode: 66	Step: 12k	Reward: 2.35	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7737561225891113 
Number:2	Episode: 67	Step: 13k	Reward: 1.69	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7461828231811524 
Number:2	Episode: 68	Step: 13k	Reward: 9.91	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7435850381851197 
Number:2	Episode: 69	Step: 13k	Reward: -1.61	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7497973442077637 
Number:2	Episode: 70	Step: 13k	Reward: 4.32	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7433820962905884 
Number:2	Episode: 71	Step: 13k	Reward: 8.46	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7640784740447998 
Number:2	Episode: 72	Step: 14k	Reward: 1.0	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7770558357238769 
Number:2	Episode: 73	Step: 14k	Reward: 6.16	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7859711408615112 
Number:2	Episode: 74	Step: 14k	Reward: 2.67	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7831401586532593 
Number:2	Episode: 75	Step: 14k	Reward: -31.91	Goal: -1 	Done Type: done_goal	Epi_step: 67 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7343168020248413 
Number:2	Episode: 76	Step: 14k	Reward: -0.16	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7246662139892578 
Number:2	Episode: 77	Step: 15k	Reward: 6.19	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7178085327148438 
Number:2	Episode: 78	Step: 15k	Reward: -21.37	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7181597471237182 
Number:2	Episode: 79	Step: 15k	Reward: 3.49	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.743906807899475 
Number:2	Episode: 80	Step: 15k	Reward: 8.18	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7571625709533691 
Number:2	Episode: 81	Step: 15k	Reward: 11.28	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7423513650894165 
Number:2	Episode: 82	Step: 16k	Reward: 9.55	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7223633766174317 
Number:2	Episode: 83	Step: 16k	Reward: 6.92	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7130756378173828 
Number:2	Episode: 84	Step: 16k	Reward: 8.23	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7169731140136719 
Number:2	Episode: 85	Step: 16k	Reward: 13.26	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.760677695274353 
Number:2	Episode: 86	Step: 16k	Reward: 10.27	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7635404825210571 
Number:2	Episode: 87	Step: 17k	Reward: 8.04	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7577694177627563 
Number:2	Episode: 88	Step: 17k	Reward: 5.52	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7729644775390625 
Number:2	Episode: 89	Step: 17k	Reward: 6.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7575789451599121 
Number:2	Episode: 90	Step: 17k	Reward: 8.36	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7694097757339478 
Number:2	Episode: 91	Step: 17k	Reward: 0.12	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7803309440612793 
Number:2	Episode: 92	Step: 18k	Reward: 8.56	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7735686540603638 
Number:2	Episode: 93	Step: 18k	Reward: -2.29	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7800302028656005 
Number:2	Episode: 94	Step: 18k	Reward: 1.33	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.776482105255127 
Number:2	Episode: 95	Step: 18k	Reward: -0.74	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7890503644943238 
Number:2	Episode: 96	Step: 18k	Reward: 8.42	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7793584585189819 
Number:2	Episode: 97	Step: 19k	Reward: 12.82	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7757192611694336 
Number:2	Episode: 98	Step: 19k	Reward: -19.87	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.76304931640625 
Number:2	Episode: 99	Step: 19k	Reward: 60.76	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7482227087020874 
Number:2	Episode: 100	Step: 19k	Reward: 5.06	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7244687795639038 
Number:2	Episode: 101	Step: 19k	Reward: 6.31	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: -1 	Avg_Epi_Time: 0.7211809635162354 
Number:2	Episode: 102	Step: 19k	Reward: 59.38	Goal: 1 	Done Type: done_goal	Epi_step: 72 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6797574281692504 
Number:2	Episode: 103	Step: 20k	Reward: 9.22	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6771094560623169 
Number:2	Episode: 104	Step: 20k	Reward: 3.67	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6781543731689453 
Number:2	Episode: 105	Step: 20k	Reward: 9.49	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6720789670944214 
Number:2	Episode: 106	Step: 20k	Reward: -8.49	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6755859613418579 
Number:2	Episode: 107	Step: 20k	Reward: 1.72	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6640542030334473 
Number:2	Episode: 108	Step: 21k	Reward: 2.63	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6743659734725952 
