Wall time,Step,Value
1679004445.3824773,1,47.76988220214844
1679004445.7116482,2,46.72376251220703
1679004445.9165676,3,81.92350006103516
1679004446.553865,4,66.17166137695312
1679004446.775444,5,37.026973724365234
1679004447.9934168,6,104.9649429321289
1679004448.6595159,7,69.4063720703125
1679004449.1211495,8,42.557315826416016
1679004449.475904,9,31.652816772460938
1679004449.8360398,10,36.897281646728516
1679004450.593244,11,15.357799530029297
1679004451.2863111,12,107.26007080078125
1679004452.5029268,13,40.153995513916016
1679004453.3693278,14,75.74665832519531
1679004454.0775945,15,79.14441680908203
1679004454.9067354,16,75.36505889892578
1679004455.6697948,17,92.5582046508789
1679004455.9619267,18,49.194820404052734
1679004457.1176167,19,87.52478790283203
1679004457.7784095,20,35.958621978759766
1679004458.5157294,21,45.11371994018555
1679004459.3367176,22,93.3694076538086
1679004459.9354389,23,47.655216217041016
1679004460.738683,24,39.31016540527344
1679004461.4629126,25,68.09038543701172
1679004462.590088,26,16.791404724121094
1679004463.1810994,27,50.03278350830078
1679004463.9250758,28,35.61736297607422
1679004464.72143,29,101.0038070678711
1679004465.5377002,30,86.59725952148438
1679004466.3297112,31,76.10009002685547
1679004467.1955962,32,56.67434310913086
1679004467.5355456,33,59.717803955078125
1679004468.545668,34,47.82172775268555
1679004469.4303024,35,13.64154052734375
1679004469.872303,36,42.611751556396484
1679004470.2373922,37,47.682491302490234
1679004470.6759677,38,74.0832290649414
1679004471.0804062,39,100.91809844970703
1679004471.6638856,40,38.8051872253418
1679004472.3431714,41,6.326656341552734
1679004472.8673778,42,37.896183013916016
1679004473.3259032,43,56.88200759887695
1679004473.8059134,44,44.763545989990234
1679004474.3779366,45,76.43216705322266
1679004475.042548,46,41.10892105102539
1679004475.5544746,47,73.6132583618164
1679004476.010026,48,34.48379898071289
1679004476.6883621,49,69.55511474609375
1679004477.1288035,50,29.628786087036133
1679004477.5789144,51,53.44906997680664
1679004478.380925,52,30.452335357666016
1679004478.9814546,53,26.538463592529297
1679004479.841384,54,30.610395431518555
1679004480.5311108,55,75.28599548339844
1679004480.7900069,56,41.896697998046875
1679004481.4400682,57,91.51947784423828
1679004481.9901104,58,79.27325439453125
1679004482.3195314,59,49.70981979370117
1679004483.3978796,60,59.1716423034668
1679004483.852241,61,16.72109603881836
1679004484.3415754,62,87.27131652832031
1679004484.6668763,63,80.66783905029297
1679004485.3065245,64,-8.022497177124023
1679004485.7658277,65,71.23135375976562
1679004486.3100011,66,97.95451354980469
1679004486.9027035,67,36.16553497314453
1679004487.2392497,68,59.94342041015625
1679004487.638367,69,96.52883911132812
1679004488.0454648,70,83.24913024902344
1679004488.45368,71,90.32087707519531
1679004488.86401,72,39.14976501464844
1679004489.2029908,73,102.8648910522461
1679004489.6903417,74,74.1237564086914
1679004490.4161735,75,13.468643188476562
1679004490.8227525,76,29.010770797729492
1679004491.1459591,77,69.11188507080078
1679004491.5428703,78,106.57296752929688
1679004491.8587437,79,47.517459869384766
1679004492.2617927,80,31.709354400634766
1679004492.449596,81,52.67018508911133
1679004492.841881,82,59.23748779296875
1679004493.2721205,83,48.584327697753906
1679004493.6918597,84,57.56597900390625
1679004494.156551,85,66.1492919921875
1679004494.6368656,86,43.71744918823242
1679004495.0375557,87,40.3241081237793
1679004495.4202652,88,4.48807430267334
1679004495.8541033,89,93.09974670410156
1679004496.421877,90,12.155782699584961
1679004496.6547346,91,82.5452880859375
1679004496.9783897,92,48.64342498779297
1679004497.532618,93,76.76527404785156
1679004497.8784037,94,88.39019775390625
1679004498.116769,95,43.70305633544922
1679004498.4147604,96,59.855735778808594
1679004498.91373,97,41.95135498046875
1679004499.3239124,98,120.95048522949219
1679004499.7499664,99,42.89654541015625
1679004500.170071,100,54.11295700073242
1679004500.6075,101,48.558799743652344
